variant,clip,status,cabac_Ir,decode_Ir,cabac_Ir_reduction_pct,decode_Ir_reduction_pct,cabac_Dr,cabac_Dw,decode_Dr,decode_Dw,cabac_Bc,cabac_Bcm,decode_Bc,decode_Bcm,profile
original_CABAC_5251fa1,animation,baseline,116637829,234509095,0.0,0.0,,,,,8213873,983926,18772308,1436120,callgrind-pixels-animation.out
original_CABAC_5251fa1,sintel,baseline,2926573144,8382220629,0.0,0.0,,,,,209427711,20674171,531813015,34970392,callgrind-pixels-sintel.out
original_CABAC_5251fa1,testsrc2-720p,baseline,2547369624,4979506019,0.0,0.0,,,,,181610113,20142789,356757055,24984553,callgrind-pixels-testsrc2-720p.out
420,animation,iteration,104958005,222826928,10.013753,4.981541,,,,,,,,,cabac-420-animation.out
420-precise,animation,iteration,105705122,223574045,9.373209,4.662953,,,,,,,,,cabac-420-precise-animation.out
420-precise,sintel,iteration,2664232160,8119885865,8.964101,3.129657,,,,,,,,,cabac-420-precise-sintel.out
420,sintel,iteration,2648298711,8103952416,9.508542,3.319743,,,,,,,,,cabac-420-sintel.out
branchless-fused,sintel,iteration,2711630970,8167284675,7.3445,2.564189,,,,,,,,,cabac-branchless-fused-sintel.out
bsf,animation,iteration,104858042,222726965,10.099457,5.024168,,,,,,,,,cabac-bsf-animation.out
bsf,sintel,iteration,2647727978,8103381683,9.528044,3.326552,,,,,,,,,cabac-bsf-sintel.out
c-reader,animation,iteration,106431438,224300357,8.750498,4.353238,,,,,,,,,cabac-c-reader-animation.out
c-reader,sintel,iteration,2730815107,8186468808,6.688985,2.335322,,,,,,,,,cabac-c-reader-sintel.out
cache-inline,animation,iteration,100918989,218787912,13.476623,6.703869,,,,,,,,,cabac-cache-inline-animation.out
cache-inline,sintel,iteration,2560841722,8016495427,12.496917,4.363106,,,,,,,,,cabac-cache-inline-sintel.out
cache-restrict,animation,iteration,104458978,222327901,10.441596,5.194338,,,,,,,,,cabac-cache-restrict-animation.out
cache-restrict,sintel,iteration,2682081802,8137735507,8.354185,2.916711,,,,,,,,,cabac-cache-restrict-sintel.out
cbp,animation,iteration,104058933,221927856,10.784577,5.364926,,,,,,,,,cabac-cbp-animation.out
cbp,sintel,iteration,2670399041,8126052746,8.753381,3.056086,,,,,,,,,cabac-cbp-sintel.out
context,animation,iteration,102923522,220792445,11.758027,5.849091,,,,,,,,,cabac-context-animation.out
context,sintel,iteration,2582076452,8037730157,11.771334,4.109776,,,,,,,,,cabac-context-sintel.out
dc-inline,animation,iteration,104907284,222776207,10.057239,5.00317,,,,,,,,,cabac-dc-inline-animation.out
dc-inline,sintel,iteration,2635995820,8091649525,9.928927,3.466517,,,,,,,,,cabac-dc-inline-sintel.out
inline,animation,iteration,113331365,231202641,2.834813,1.409947,28058601,15548639,57717168,33337375,8343254,984385,18901692,1412277,cabac-inline-animation.out
mps-both-fixed,animation,iteration,107575523,225446799,7.769611,3.864369,26974799,15571005,56633366,33359741,10391799,1681430,20950237,2137449,cabac-mps-both-fixed-animation.out
mps-both-fixed,sintel,iteration,2767713599,8223361094,5.428176,1.895196,,,,,,,,,cabac-mps-both-fixed-sintel.out
mps-both-fixed,testsrc2-720p,iteration,2229645858,4661782263,12.472621,6.380628,,,,,,,,,cabac-mps-both-fixed-testsrc2-720p.out
mps-copy,animation,iteration,106822769,224694045,8.414989,4.18536,,,,,,,,,cabac-mps-copy-animation.out
mps-fixed,animation,iteration,109581123,227452399,6.050101,3.009135,27373181,15571005,57031748,33359741,9628307,1449159,20186745,1904030,cabac-mps-fixed-animation.out
mvd,animation,iteration,106058465,223927384,9.070268,4.512282,,,,,,,,,cabac-mvd-animation.out
mvd,sintel,iteration,2715461546,8171115247,7.213611,2.51849,,,,,,,,,cabac-mvd-sintel.out
mvd-unroll,animation,iteration,103736079,221605002,11.061377,5.502598,,,,,,,,,cabac-mvd-unroll-animation.out
mvd-unroll,sintel,iteration,2660911185,8116564890,9.077578,3.169276,,,,,,,,,cabac-mvd-unroll-sintel.out
norm-skip,animation,iteration,105302337,223171260,9.718538,4.83471,,,,,,,,,cabac-norm-skip-animation.out
norm-skip,sintel,iteration,2645471820,8101125525,9.605136,3.353468,,,,,,,,,cabac-norm-skip-sintel.out
off,animation,prototype_callback_disabled_control,116930113,234801387,-0.250591,-0.12464,30151884,16424384,59810451,34213119,8304203,999967,18862641,1443157,cabac-off-animation.out
off,sintel,prototype_callback_disabled_control,2932201012,8387848505,-0.192302,-0.067141,783358871,428881208,2176987437,1103679130,211520661,20971504,533905968,34581610,cabac-off-sintel.out
